,t_out,Energy_2,Energy_4,Energy_3,temperature:drybulb,Equip,Energy_5,Energy_1,light,occ
2929,27.566668,5911.0767,5832.9766,3855.3242,21.998005,0.9848403,3611.6833,6378.7017,0.64265865,0.93933207
2930,27.75,5879.0645,5796.8164,3822.1729,21.998087,0.9848403,3592.7302,6346.694,0.64265865,0.93933207
2931,27.933332,5863.92,5778.037,3783.6572,21.998138,0.9848403,3583.2922,6324.9844,0.64265865,0.93933207
2932,28.116667,5860.1216,5770.874,3751.4636,21.998177,0.9848403,3580.39,6310.4062,0.64265865,0.93933207
2933,28.3,5863.969,5771.465,3726.0544,21.998205,0.9848403,3581.9932,6300.8438,0.64265865,0.93933207
2934,28.683332,5885.733,5788.279,3702.4138,21.998224,0.9848403,3594.5203,6295.9985,0.64265865,0.93933207
2935,29.066668,5911.9717,5809.4194,3694.2385,21.998232,0.9848403,3609.6604,6293.3813,0.64265865,0.93933207
2936,29.45,5939.23,5831.8125,3690.562,21.99824,0.9848403,3625.4194,6292.383,0.64265865,0.93933207
2937,29.833334,5975.9414,5861.1245,3708.12,21.998241,0.9848403,3645.619,6292.4414,0.64265865,0.93933207
2938,30.216667,6014.764,5891.438,3726.0154,21.99824,0.9848403,3666.3945,6293.159,0.64265865,0.93933207
2939,30.6,6052.9155,5921.282,3740.6267,21.998236,0.9848403,3686.891,6294.123,0.64265865,0.93933207
2940,30.6,6056.6226,5921.656,3736.5386,21.998241,0.9848403,3687.1995,6290.3496,0.64265865,0.93933207
2941,30.6,6061.3755,5922.9604,3724.8628,21.998251,0.9848403,3688.1653,6286.6943,0.64265865,0.93933207
2942,30.6,6067.781,5925.361,3710.3638,21.998259,0.9848403,3689.96,6282.7646,0.64265865,0.93933207
2943,30.6,6070.7812,5925.844,3706.9607,21.998264,0.9848403,3690.5586,6278.7104,0.64265865,0.93933207
2944,30.6,6073.9287,5926.898,3708.509,21.998272,0.9848403,3691.5479,6274.73,0.64265865,0.93933207
2945,30.6,6078.0537,5929.036,3710.1426,21.998278,0.9848403,3693.1152,6271.017,0.64265865,0.93933207
2946,30.6,6076.192,5928.127,3709.084,21.998285,0.9848403,3692.7666,6267.6846,0.64265865,0.93933207
2947,30.6,6080.607,5931.0254,3708.1836,21.998293,0.9848403,3694.924,6264.777,0.64265865,0.93933207
2948,30.6,6087.161,5934.946,3711.0308,21.998299,0.9848403,3697.7085,6262.4087,0.64265865,0.93933207
2949,30.6,6086.076,5933.473,3710.5386,21.998304,0.9848403,3696.8792,6260.655,0.64265865,0.93933207
2950,30.6,6084.519,5931.3237,3709.718,21.998314,0.9848403,3695.5552,6259.4814,0.64265865,0.93933207
2951,30.6,6084.0176,5929.9873,3709.173,21.998322,0.9848403,3694.8079,6258.886,0.64265865,0.93933207
2952,31.05,5729.6035,5570.769,3498.7627,21.998404,0.8754136,3483.013,5776.6426,0.57125217,0.49438533
2953,31.5,5784.9395,5622.9976,3531.713,21.998621,0.8754136,3515.269,5803.4185,0.57125217,0.49438533
2954,31.95,5855.952,5690.8438,3574.3538,21.998655,0.8754136,3556.9338,5843.437,0.57125217,0.49438533
2955,32.4,5938.2563,5769.1475,3623.7976,21.998642,0.8754136,3605.2925,5889.3774,0.57125217,0.49438533
2956,32.85,6027.929,5854.61,3677.801,21.998615,0.8754136,3658.1465,5941.2563,0.57125217,0.49438533
2957,33.3,6122.4214,5945.0645,3734.958,21.998579,0.8754136,3714.2039,5997.687,0.57125217,0.49438533
2958,33.3,6591.1772,6415.067,4014.7268,21.998476,0.9848403,3992.927,6561.571,0.64265865,0.93933207
2959,33.3,6656.7666,6479.4185,4055.0703,21.998198,0.9848403,4031.9104,6621.2476,0.64265865,0.93933207
2960,33.3,6714.637,6535.672,4090.3616,21.998106,0.9848403,4066.4817,6672.45,0.64265865,0.93933207
2961,33.3,6764.8853,6586.1006,4121.6465,21.998056,0.9848403,4101.09,6722.271,0.64265865,0.93933207
2962,33.3,6812.0386,6634.082,4151.23,21.998018,0.9848403,4133.714,6769.8774,0.64265865,0.93933207
2963,33.3,6859.628,6681.2534,4180.1753,21.99798,0.9848403,4164.843,6816.0483,0.64265865,0.93933207
2964,33.3,6888.2383,6710.725,4198.5103,21.997946,0.9848403,4185.5366,6839.561,0.64265865,0.93933207
2965,33.3,6911.2197,6734.139,4212.7856,21.997902,0.9848403,4204.91,6859.5664,0.64265865,0.93933207
2966,33.3,6926.4834,6749.952,4222.038,21.997875,0.9848403,4243.329,6875.1064,0.64265865,0.93933207
2967,33.3,6934.713,6759.256,4226.99,21.997862,0.9848403,4282.307,6886.9,0.64265865,0.93933207
2968,33.3,6937.9106,6763.831,4228.8267,21.997856,0.9848403,4319.258,6895.696,0.64265865,0.93933207
2969,33.3,6937.5083,6764.9824,4228.4175,21.997856,0.9848403,4354.4277,6902.129,0.64265865,0.93933207
2970,33.3,6926.662,6757.3237,4222.5913,21.997862,0.9848403,4383.3545,6899.4014,0.64265865,0.93933207
2971,33.3,6911.923,6745.9707,4214.327,21.997868,0.9848403,4409.5874,6894.386,0.64265865,0.93933207
2972,33.3,6893.256,6730.759,4203.5347,21.99788,0.9848403,4432.8066,6886.915,0.64265865,0.93933207
